,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2016
0,Cristiano Ronaldo,Cristiano Ronaldo,31,185,80,Portugal,Real Madrid,94,94,Right,5,4,5,High/Low,C. Ronaldo,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,2009-07-01,LS,92.0,92.0,91.0,33.0,80.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",84+2,93-2,87+1,82+1,88+1,93,81-7,77,72,92+1,91,92-1,90,96+4,63+1,94,95+1,92+2,80+1,92-1,63+1,29,94+1,85+4,85,86,22,31,23,7,11,15,14,11,125.4
1,L. Messi,Lionel Messi,29,170,72,Argentina,FC Barcelona,93,93,Left,5,4,4,Medium/Medium,Messi,"#Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher",RW,,2004-07-01,RW,89.0,90.0,96.0,26.0,61.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), One Club Player, Chip Shot (CPU AI Only)",77-3,95+2,71,88,85,97+1,89,90,87+8,95-1,92-3,87-3,90-2,95+3,95,83+3,68,74-1,59,88,48,22,93+3,90,74,94,13,28+5,26+5,6,11,15,14,8,136.8
2,Neymar,Neymar,24,174,68,Brazil,FC Barcelona,92,95,Right,5,5,5,High/Medium,Neymar,"#Speedster, #Dribbler, #Acrobat",LW,,2013-07-01,LW,91.0,84.0,95.0,30.0,56.0,,,,,,,"Diver, Flair, Technical Dribbler (CPU AI Only)",75+3,89+1,62,81+3,83,96+2,78,79,75+1,95+2,93+2,90,96+4,88+2,82-2,78,61,70-9,49+4,77+4,56,36,90+1,80+1,81,80,21,24,33,9,9,15,15,11,114.0
3,L. Suárez,Luis Suárez,29,182,85,Uruguay,FC Barcelona,92,92,Right,5,4,4,High/Medium,Normal,"#Acrobat, #Clinical Finisher",ST,,2014-07-11,RS,82.0,90.0,87.0,42.0,79.0,,,,,,,"Diver, Beat Offside Trap, Technical Dribbler (CPU AI Only)",77,94+4,77,83+1,88+1,86-2,86,84,64,91,88,77-1,86,93+2,60,87-1,69,89+1,76,86+1,78,41,92+1,84,85,83,30,45,38,27,25,31,33,37,102.6
4,G. Bale,Gareth Bale,26,183,74,Wales,Real Madrid,90,90,Left,4,3,4,High/Medium,Lean,"#Speedster, #Distance Shooter, #Crosser, #Clinical Finisher",RW,,2013-09-02,RS,94.0,87.0,86.0,57.0,76.0,,,,,,,"Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",87+3,87+6,82+6,86+2,76,89+2,86-1,85,80,88+3,93,95,77+2,87+3,65,91+4,79+12,78-12,80+1,90+2,65-12,59,86+3,79+2,76,85,51-9,55-10,52-10,15,15,11,5,6,95.0
5,R. Lewandowski,Robert Lewandowski,27,185,79,Poland,FC Bayern München,90,90,Right,4,4,3,Medium/Medium,Normal,"#Poacher, #Clinical Finisher",ST,,2014-07-01,LS,81.0,87.0,85.0,38.0,82.0,,,,,,,"Injury Free, Chip Shot (CPU AI Only)",62,91+2,85+2,83+1,86+2,85,77,68,65,87,79,82+1,78,88,79+1,86+1,84+1,79,84+2,82,80,39,89+1,78,78+1,87,25,42,19,15,6,12,8,10,83.6
6,T. Courtois,Thibaut Courtois,24,199,91,Belgium,Chelsea,89,93,Left,4,3,1,Medium/Medium,Courtois,,GK,,2011-07-26,GK,,,,,,84.0,91.0,69.0,89.0,49.0,86.0,"GK Long Throw, Comes For Crosses",14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,84,91+4,69,86,89+1,39.9
7,M. Özil,Mesut Özil,27,183,76,Germany,Arsenal,89,90,Left,4,2,4,Medium/Low,Lean,#Playmaker  ,CAM,,2013-09-02,CAM,72.0,74.0,86.0,24.0,58.0,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80,75,54,89,77,86,84,79,84,90,77,68,84,87,70,70,52,68+4,56,76,54,24,84,93,67-9,73,22,16,19,6,14,10,6,14,57.0
8,S. Agüero,Sergio Agüero,28,172,74,Argentina,Manchester City,89,89,Right,4,4,4,High/Medium,Normal,"#Dribbler, #Acrobat, #Clinical Finisher",ST,,2011-07-28,SUB,89.0,88.0,89.0,23.0,70.0,,,,,,,"Injury Prone, Beat Offside Trap, Flair, Technical Dribbler (CPU AI Only)",70,90,68,79,85,89,82,72,63,89,92,86,86,88,90,87,80,74,73,84,57,24,91,83,83,90,13,20,12,13,15,6,11,14,68.4
9,Sergio Ramos,Sergio Ramos,30,183,75,Spain,Real Madrid,89,89,Right,4,3,3,High/Medium,Normal,"#Tackling , #Tactician ",LCB,,2005-08-01,LCB,78.0,63.0,71.0,87.0,83.0,,,,,,,"Dives Into Tackles (CPU AI Only), Leadership, Power Header",66-8,60,86,76,66,61+4,73,67-1,70,83,77-1,78-1,80-2,82,60,79+2,92+1,84-2,81+1,55,84+1,88,52,63,68,76,85,89,90,11,8,9,7,11,45.6
