,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2018
0,Cristiano Ronaldo,Cristiano Ronaldo,33,187,83,Portugal,Juventus,94,94,Right,5,4,5,High/Low,C. Ronaldo,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,2018-07-10,LS,90.0,93.0,89.0,35.0,79.0,,,,,,,"Power Free-Kick, Diver, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Through Ball",84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,121.6
1,L. Messi,Lionel Messi,31,170,72,Argentina,FC Barcelona,94,94,Left,5,4,4,Medium/Medium,Messi,"#Dribbler, #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher",RW,,2004-07-01,CF,88.0,91.0,96.0,32.0,61.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Playmaker (CPU AI Only), One Club Player, Chip Shot (CPU AI Only)",77,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8,197.6
2,Neymar Jr,Neymar,26,175,68,Brazil,Paris Saint-Germain,92,93,Right,5,5,5,High/Medium,Neymar,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",CAM,,2017-08-03,LW,92.0,84.0,95.0,32.0,59.0,,,,,,,"Diver, Selfish, Flair, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,205.2
3,K. De Bruyne,Kevin De Bruyne,27,181,70,Belgium,Manchester City,91,92,Right,4,5,4,High/High,Normal,"#Dribbler, #Playmaker  , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,,2015-08-30,RCM,77.0,86.0,87.0,60.0,78.0,,,,,,,"Leadership, Early Crosser, Long Passer (CPU AI Only), Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",93,83,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,60,87,94,79,88,67,58,51,15,13,5,10,13,155.8
4,Sergio Ramos,Sergio Ramos,32,184,82,Spain,Real Madrid,91,91,Right,4,3,3,High/Medium,Normal,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,,2005-08-01,LCB,75.0,63.0,71.0,91.0,84.0,,,,,,,"Dives Into Tackles (CPU AI Only), Leadership, Power Header, Team Player",66,60,91,78,66,61,73,67,72,84,76,75,78,85,66,79,93,84,83,55,84,90,52,63,68,80,89,92,91,11,8,9,7,11,46.74
5,L. Suárez,Luis Suárez,31,182,86,Uruguay,FC Barcelona,91,91,Right,5,4,3,High/Medium,Normal,"#Dribbler, #Clinical Finisher",ST,,2014-07-11,LS,80.0,90.0,88.0,52.0,85.0,,,,,,,"Diver, Beat Offside Trap, Outside Foot Shot, Technical Dribbler (CPU AI Only)",77,94,77,82,88,87,86,84,64,90,86,75,82,93,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,81.7
6,L. Modrić,Luka Modric,32,172,66,Croatia,Real Madrid,91,91,Right,4,4,4,High/High,Lean,"#Dribbler, #Playmaker  , #Engine, #Crosser, #Acrobat, #Complete Midfielder",RCM,,2012-08-01,,76.0,76.0,91.0,70.0,67.0,,,,,,,"Leadership, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,34.2
7,E. Hazard,Eden Hazard,27,173,74,Belgium,Chelsea,91,91,Right,4,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2012-07-01,LF,91.0,82.0,94.0,35.0,67.0,,,,,,,"Beat Offside Trap, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,143.64
8,J. Oblak,Jan Oblak,25,188,87,Slovenia,Atlético Madrid,90,93,Right,3,3,1,Medium/Medium,Normal,,GK,,2014-07-17,SUB,,,,,,86.0,92.0,78.0,89.0,52.0,88.0,"Puncher, GK Long Throw, Comes For Crosses",13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89,79.8
9,T. Courtois,Thibaut Courtois,26,199,96,Belgium,Real Madrid,90,91,Left,4,3,1,Medium/Medium,Courtois,,GK,,2018-08-09,GK,,,,,,87.0,91.0,74.0,88.0,49.0,87.0,"GK Long Throw, Comes For Crosses",14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,87,91,74,87,88,68.4
