team_id,club
11,Manchester United
39,Atalanta
112172,RB Leipzig
22,Borussia Dortmund
9,Liverpool
21,FC Bayern München
1,Arsenal
5,Chelsea
243,Real Madrid
18,Tottenham Hotspur
241,FC Barcelona
240,Atlético Madrid
88,Birmingham City
461,Valencia CF
73,Paris Saint-Germain
10,Manchester City
110,Wolverhampton Wanderers
245,Ajax
47,Milan
44,Inter
1877,Boca Juniors
66,Olympique Lyonnais
7,Everton
457,Real Sociedad
95,Leicester City
45,Juventus
481,Sevilla FC
32,Bayer 04 Leverkusen
65,LOSC Lille
52,Roma
34,FC Schalke 04
23,Borussia Mönchengladbach
1794,Sheffield United
1876,River Plate
46,Lazio
2,Aston Villa
234,SL Benfica
19,West Ham United
13,Newcastle United
247,PSV
8,Leeds United
219,Olympique de Marseille
48,Napoli
449,Real Betis
101085,Racing Club
485,Hannover 96
1879,Club América
74,Stade Rennais FC
1860,Getafe CF
1824,Eintracht Frankfurt
69,AS Monaco
1792,Norwich City
448,Athletic Club de Bilbao
31,1. FC Köln
78,Celtic
1906,AZ Alkmaar
166,Hertha BSC
236,FC Porto
110374,Fiorentina
246,Feyenoord
191,FC Red Bull Salzburg
229,RSC Anderlecht
483,Villarreal CF
17,Southampton
237,Sporting CP
1943,Bournemouth
1878,Cruz Azul
38,SV Werder Bremen
175,VfL Wolfsburg
1795,Watford
1799,Crystal Palace
144,Fulham
325,Galatasaray SK
1970,Tigres U.A.N.L.
28,Hamburger SV
110093,Independiente
110679,Bayern München II
112885,Atlanta United
1808,Brighton & Hove Albion
109,West Bromwich Albion
10029,TSG 1899 Hoffenheim
36,VfB Stuttgart
106,Sunderland
91,Derby County
1043,Flamengo
14,Nottingham Forest
1925,Brentford
72,OGC Nice
326,Fenerbahçe SK
111139,Montreal Impact
86,Rangers FC
1819,AS Saint-Étienne
1880,Guadalajara
436,Trabzonspor
1881,U.N.A.M.
112584,CD Everton de Viña del Mar
1318,England
1790,Portsmouth
101088,Vélez Sarsfield
1896,SC Braga
190,Brescia
450,RC Celta
1960,Swansea City
452,RCD Espanyol
1796,Burnley
111065,Real Salt Lake
101014,Medipol Başakşehir FK
1032,Monterrey
327,Beşiktaş JK
231,Club Brugge KV
111974,Sassuolo
1335,France
50,Parma
1842,Cagliari
112996,Los Angeles FC
113926,Salford City
1806,Stoke City
101108,Olimpia Asunción
697,LA Galaxy
54,Torino
453,RCD Mallorca
462,Real Valladolid CF
169,1. FSV Mainz 05
280,Olympiacos CFP
1369,Argentina
12,Middlesbrough
189,Bologna
111651,Toronto FC
1337,Germany
105035,Netherlands
112828,New York City FC
25,SC Freiburg
110975,Universidad Católica
1882,Deportivo Toluca
1361,Slovenia
15,Queens Park Rangers
100409,FC Augsburg
112809,Famalicão
1386,Mexico
1354,Portugal
3,Blackburn Rovers
573,Málaga CF
59,FC Girondins de Bordeaux
101110,Peñarol
110832,Granada CF
110980,Colo-Colo
242,Deportivo de La Coruña
1352,Norway
689,New York Red Bulls
1939,Huddersfield Town
4,Bolton Wanderers
71,FC Nantes
1343,Italy
1837,Sampdoria
110556,Genoa
598,São Paulo
206,Hellas Verona
111144,Seattle Sounders FC
101103,Independiente Medellín
1013,San Lorenzo de Almagro
1362,Spain
1961,Cardiff City
1952,Hull City
111140,Portland Timbers
10030,SC Paderborn 07
101059,Shakhtar Donetsk
1853,Levante UD
463,Deportivo Alavés
110636,Fortuna Düsseldorf
110636,FCSB
55,Udinese
159,DSC Arminia Bielefeld
111008,Club Libertad
695,FC Dallas
110781,Club León
1322,Austria
244,Real Zaragoza
1919,Bristol City
100888,CD Leganés
674,KAA Gent
674,KAA Gent
1831,1. FC Union Berlin
1370,Brazil
1807,Sheffield Wednesday
211,Dinamo Zagreb
110395,Club Atlético Lanús
673,KRC Genk
101083,Estudiantes de La Plata
171,1. FC Nürnberg
1871,Legia Warszawa
70,Montpellier HSC
1917,Wigan Athletic
101099,América de Cali
479,CA Osasuna
561,Forest Green Rovers
1053,Santos
112908,Independiente del Valle
76,RC Strasbourg Alsace
379,Stade de Reims
467,SD Eibar
100767,Spartak Moscow
688,DC United
110062,Girona FC
1809,Toulouse Football Club
819,FC København
110144,Santos Laguna
15029,Universidad de Chile
